pl_name,pl_orbper,disc_method,disc_year,pl_orbeccen,pl_eqt,Confirmed,st_mass,st_teff,st_rad,st_lum,st_age,pl_radius_rearth
Kepler-122 f,56.268,ttv,2014,0.0,543.0,0,1.03,5917.0,0.949,0.26993,7.94,1.74876
Kepler-1086 b,18.78425728,tran,2016,0.0,433.0,0,0.7,4350.0,0.66,-0.85997,2.88,2.4402176862000005
Kepler-48 d,42.8961,tran,2014,0.0,448.0,0,0.88,5194.0,0.89,-0.28926,3.14,2.04022
Kepler-1467 b,47.0569043,tran,2016,0.0,411.0,0,0.86,5332.0,0.82,-0.35052,4.37,3.3002943988000006
EPIC 220554210 c,0.70531,tran,2019,0.0,815.5,0,0.94,5499.0,1.0,-0.21463,3.98,1.6001454428000002
HD 192263 b,24.3556,rv,1999,0.05,486.0,0,0.66,4976.0,0.74,-0.47,2.09,14.124600000000001
HD 109271 c,30.93,rv,2013,0.15,815.5,0,1.047,5783.0,1.294595,0.301,7.3,5.2687
HD 29021 b,1362.3,rv,2017,0.459,815.5,0,0.85,5560.0,0.85,-0.18111,7.4,12.8915
Kepler-1292 b,3.27646405,tran,2016,0.0,1195.0,0,0.95,5556.0,0.93,-0.09051,4.68,1.8201623192
GJ 876 c,30.0881,rv,2000,0.25591,815.5,0,0.32,3293.74,0.3,-1.90658,1.0,14.012500000000001
Kepler-603 d,6.2171292,tran,2016,0.0,1098.0,0,1.01,5808.0,1.01,0.39156,4.37,1.3201177371000001
K2-285 e,14.76289,tran,2018,0.0,500.9,0,0.83,4975.0,0.787,-0.42183,3.98,1.9501739935
Kepler-24 e,18.998355,tran,2014,0.0,792.0,0,1.046,5897.0,1.289,0.064,3.02,2.7800800000000003
Kepler-11 g,118.3807,tran,2010,0.15,376.0,0,0.961,5663.0,1.065,0.1202,8.5,3.32937
TOI-500 c,6.6356,rv,2022,0.072,815.5,0,0.74,4440.0,0.678,-0.70002,5.0,2.09627
Kepler-637 b,23.20584623,tran,2016,0.0,1002.0,0,1.64,6096.0,2.56,0.38249,2.19,4.7504238102
Kepler-1675 b,63.0382,tran,2020,0.0,465.0,0,1.06,5853.19,1.12865,0.12938,1.7,3.1251122537000002
Kepler-855 b,7.886631104,tran,2016,0.0,996.0,0,1.03,5835.0,1.03,0.33305,4.17,8.350744891000002
Kepler-138 b,10.3134,tran,2014,0.02,452.0,0,0.535,3841.0,0.535,-1.25181,4.68,0.6400581547
Kepler-509 b,41.74600392,tran,2016,0.0,584.0,0,1.1,6060.0,1.2,0.23291,4.27,2.4902221332
Kepler-692 b,21.81293494,tran,2016,0.0,639.0,0,0.9,5440.0,0.86,-0.23346,4.68,3.1102775002000005
Kepler-1052 b,34.8538276,tran,2016,0.0,522.0,0,1.03,5888.0,1.03,-0.04685,3.55,2.9302613789
Kepler-131 c,25.5169,tran,2014,0.0,615.0,0,1.02,5685.0,1.03,0.02191,3.66,0.84075
Kepler-376 b,4.920199,tran,2014,0.0,1242.0,0,0.968,5900.0,1.175,0.35663,1.91,1.06495
K2-126 b,7.385655,tran,2017,0.06,601.0,0,0.69,4339.0,0.65,-0.87762,3.98,1.9701757723
K2-141 c,7.7485,tran,2018,0.092,695.0,0,0.708,4570.0,0.681,-0.75,6.3,7.0006365925
Kepler-1790 b,31.58889961,tran,2021,0.0,682.0,0,1.02,5866.0,1.367,0.38334,2.88,3.1449004820000006
Kepler-497 b,3.573203671,tran,2016,0.0,1210.0,0,1.09,5834.0,1.11,0.25216,3.55,6.0405388791000005
Kepler-179 c,6.40013,tran,2014,0.0,810.0,0,0.893,5302.0,0.759,-0.27765,1.74,1.9953800000000002
Kepler-334 c,12.758005,tran,2014,0.0,822.0,0,1.022,5828.0,1.068,0.05556,2.75,1.4348800000000002
HD 215152 e,25.1967,rv,2018,0.0,815.5,0,0.77,4935.0,0.73,-0.52254,3.98,1.5021400000000003
Kepler-1451 b,35.622233,tran,2016,0.0,523.0,0,1.0,5782.0,0.99,-0.11938,4.17,3.3502988458000003
Kepler-444 d,6.189392,tran,2015,0.18,783.0,0,0.758,5046.0,0.752,-0.42455,11.23,0.5268700000000001
DMPP-1 d,2.882,rv,2019,0.07,1632.0,0,1.21,6196.0,1.26,0.31955,2.01,1.64787
Kepler-605 b,3.383538066,tran,2016,0.0,1133.0,0,0.91,5462.0,0.88,-0.24849,4.47,1.4401285220000002
GJ 514 b,140.43,rv,2022,0.45,202.0,0,0.51,3728.0,0.5,-1.36653,0.8,2.1299
Kepler-1478 b,26.0840594,tran,2016,0.0,598.0,0,1.04,5904.0,1.06,0.30415,3.98,1.7301543146000002
HD 95735 c,2946.0,rv,2021,0.132,815.5,0,0.3899,3719.0,0.3685,-1.70997,8.047,3.7553500000000004
TOI-782 b,8.0240015,tran,2024,0.19,435.0,0,0.397,3370.0,0.413,-1.70246,3.98,2.7342485876000002
HD 220074 b,672.09998,rv,2012,0.14,815.5,0,2.2,3787.0,54.92,2.89354,4.5,12.218900000000001
GJ 806 c,6.64064,rv,2023,0.0,490.0,0,0.413,3600.0,0.4144,-1.58528,5.0,2.2756300000000005
HD 133131 A c,3568.0,rv,2016,0.49,815.5,0,0.95,5799.0,0.955014,-0.01658,9.7,14.3488
Kepler-582 b,18.49235668,tran,2016,0.0,603.0,0,0.93,5564.0,0.91,-0.41418,4.47,3.6803283081000004
HD 50499 c,8619.9,rv,2019,0.0,815.5,0,1.31,6099.0,1.42,0.37632,2.4,13.1157
LP 890-9 b,2.7299025,tran,2022,0.0,396.0,0,0.118,2850.0,0.1556,-2.84134,7.2,1.3201200912000002
Kepler-206 c,13.137471,tran,2014,0.0,825.0,0,0.957,5764.0,1.185,0.08357,8.32,1.7711800000000002
Kepler-1039 b,0.934884242,tran,2016,0.0,2080.0,0,0.79,4870.0,0.74,-0.64925,4.37,1.4601303008000002
Kepler-255 c,9.946047,tran,2014,0.0,807.0,0,0.867,5573.0,0.933,-0.18311,2.4,2.9930700000000003
TIC 393818343 b,16.24921,tran,2024,0.6058,805.5,0,1.082,5756.0,1.086,0.06744,3.8,12.185270000000001
GJ 667 C f,39.026,rv,2013,0.03,815.5,1,0.33,3350.0,0.95,-1.863,2.0,1.44609
HD 51608 c,95.9446,rv,2019,0.14,815.5,0,0.8,5358.0,0.916136,-0.24413,3.98,3.87866
Kepler-1840 b,131.1900024,tran,2021,0.0,284.0,0,0.774,4898.0,0.803,-0.58706,14.0,2.7779638883
HD 79498 b,1807.0,rv,2011,0.575,815.5,0,1.08,5748.0,1.05,0.03,2.71,13.676200000000001
CoRoT-21 b,2.72474,tran,2012,0.0,815.5,0,1.29,6200.0,1.95,0.705,4.1,14.573000000000002
TOI-1420 b,6.9561063,tran,2023,0.17,957.0,0,0.987,5510.0,0.923,-0.15181,10.7,11.891081261800002
TOI-1266 c,18.8027,tran,2020,0.071,346.0,0,0.437,3563.0,0.4232,-1.58021,4.6,1.9801800247
Kepler-600 b,23.67517607,tran,2016,0.0,528.0,0,0.84,5279.0,0.81,-0.33922,4.57,2.9002587107
HD 99492 c,95.233,rv,2023,0.063,815.5,0,0.85,4929.0,0.822539,-0.4749,4.8,4.416740000000001
KOI-3503 b,21.185,tran,2021,0.0,785.0,0,0.858,6001.0,1.255,0.30005,11.48,1.1901081927000001
Kepler-22 b,289.863876,tran,2011,0.72,279.0,0,0.857,5596.0,0.869,-0.19024,7.0,2.1001909217000003
Kepler-1358 b,7.06317341,tran,2016,0.0,827.0,0,0.82,5181.0,0.79,-0.41347,5.13,1.1200999491
GJ 2126 b,272.7,rv,2025,0.85,815.5,0,0.65,4159.0,0.728,-0.84527,3.98,13.676200000000001
K2-148 b,4.38395,tran,2018,0.0,815.5,0,0.65,4079.0,0.632,-0.99568,3.98,1.3301186265
Kepler-61 b,59.87756,tran,2013,0.25,273.0,0,0.635,4017.0,0.62,-0.97062,1.0,2.15232
TOI-1691 b,16.736888935,tran,2024,0.0,703.49,0,1.03,5759.0,1.0,-0.03058,6.6,3.6603328069
Kepler-445 b,2.984151,tran,2015,0.0,401.0,0,0.18,3157.0,0.21,-2.09994,6.61,1.5694000000000004
Kepler-540 b,172.7049784,tran,2016,0.0,355.0,0,1.02,5946.0,1.08,0.20658,4.9,2.7102418121000005
Kepler-33 c,13.17562,tran,2011,0.0,1009.0,0,1.291,5904.0,1.82,0.556,4.27,3.19485
Kepler-59 c,17.9801235,tran,2012,0.0,752.0,0,1.04,6074.0,0.94,0.32374,0.26,1.98417
Kepler-50 c,9.37647,tran,2012,0.0,1125.0,0,1.24,6225.0,1.58,0.53582,3.8,2.1747400000000003
K2-253 b,4.00167,tran,2018,0.0,1238.0,0,1.08,6027.0,1.1,-0.07738,3.98,12.671130344900002
EPIC 206024342 c,0.911724,tran,2021,0.0,815.5,0,0.928,5724.0,1.1,-0.16992,3.98,1.4001273185000003
K2-148 c,6.9226,tran,2018,0.0,815.5,0,0.65,4079.0,0.632,-0.99568,3.98,1.7301543146000002
HD 87816 b,484.17,rv,2025,0.78,815.5,0,2.41,4989.0,9.0,1.65514,3.98,12.6673
Kepler-850 b,7.19303878,tran,2016,0.0,995.0,0,1.06,5932.0,1.09,0.17325,3.89,1.7801587616
Kepler-1004 b,5.28789787,tran,2016,0.0,1661.0,0,1.11,4972.0,3.39,0.71341,7.76,6.2805602247
HD 102272 b,127.58,rv,2008,0.05,815.5,0,1.45,4790.0,10.3,1.66167,3.98,12.8915
Kepler-747 b,35.61760587,tran,2016,0.0,456.0,1,0.82,5096.0,0.78,-0.432,4.79,5.2704701711
GJ 1132 b,1.62892911,tran,2015,0.0118,583.8,0,0.1945,3229.0,0.2211,-2.32148,5.0,1.191623
Kepler-350 b,11.189562,tran,2014,0.0,1037.0,0,1.19,6186.0,1.534,0.42842,4.0,1.8496500000000002
TOI-2202 c,24.6744,ttv,2021,0.0622,815.5,0,0.823,5144.0,0.794,-0.40121,7.48,13.3399
GJ 273 c,4.7234,rv,2017,0.17,815.5,0,0.29,3382.0,0.293,-2.05552,3.98,1.0559820000000002
TOI-2589 b,61.6277,tran,2023,0.522,592.0,0,0.93,5579.0,1.07,-0.00436,11.0,12.106800000000002
